seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	159232429	159232779	351	*	X0036	26374	159232320	159347640	115321	+	0	inside	108	Cop1
chr1	166253985	166254388	404	*	X0038	100039795	166254139	166316823	62685	+	0	overlapStart	0	Ildr2
chr1	167000793	167001661	869	*	X0040	100503962	166974023	166999728	25706	-	1064	upstream	1064	Gm16701
chr1	167000793	167001661	869	*	X0040	226610	167001417	167091302	89886	+	0	overlapStart	0	Fam78b
chr1	171064682	171064768	87	*	X0041	102466998	171064591	171064652	62	-	29	upstream	29	Mir6546
chr1	171064682	171064768	87	*	X0041	14131	171051174	171064935	13762	-	0	inside	166	Fcgr3
chr1	171065819	171066114	296	*	X0042	102466998	171064591	171064652	62	-	1166	upstream	1166	Mir6546
chr1	171065819	171066114	296	*	X0042	14131	171051174	171064935	13762	-	883	upstream	883	Fcgr3
chr1	175492183	175492618	436	*	X0043	24012	175059087	175492500	433414	-	0	overlapStart	0	Rgs7
chr1	182019459	182020228	770	*	X0044	13800	181896384	182019990	123607	-	0	overlapStart	0	Enah
chr1	184810767	184811242	476	*	X0045	66112	184786767	184811313	24547	-	0	inside	70	Mtarc1
chr1	184999479	184999881	403	*	X0046	226778	184896789	184999570	102782	-	0	overlapStart	0	Mark1
chr1	192137764	192138340	577	*	X0047	214742	192098546	192138062	39517	-	0	overlapStart	0	Rcor3
chr10	9900829	9901225	397	*	X0049	78808	9755547	9901079	145533	-	0	overlapStart	0	Stxbp5
chr10	11281395	11281718	324	*	X0050	71865	11281330	11298052	16723	+	0	inside	64	Fbxo30
chr10	11343388	11343749	362	*	X0051	13853	11343404	11459644	116241	+	0	overlapStart	0	Epm2a
chr10	18055339	18056166	828	*	X0054	19707	18055861	18125155	69295	+	0	overlapStart	0	Reps1
chr10	19934051	19934644	594	*	X0055	26408	19934472	20142753	208282	+	0	overlapStart	0	Map3k5
chr10	20148578	20149072	495	*	X0056	17761	20148471	20281590	133120	+	0	inside	106	Map7
chr10	21160909	21161284	376	*	X0057	17863	21124935	21160984	36050	-	0	overlapStart	0	Myb
chr10	31608954	31609442	489	*	X0060	268291	31493193	31609184	115992	-	0	overlapStart	0	Rnf217
chr10	43174320	43174622	303	*	X0063	109205	43002500	43174530	172031	-	0	overlapStart	0	Sobp
chr10	43174320	43174622	303	*	X0063	74530	43174699	43176562	1864	+	76	upstream	76	9030612E09Rik
chr10	43478866	43479858	993	*	X0064	331623	43478831	43515396	36566	+	0	inside	34	Bend3
chr10	45335624	45335952	329	*	X0065	23828	45335772	45372479	36708	+	0	overlapStart	0	Bves
chr10	45485635	45486542	908	*	X0066	380669	45376620	45486395	109776	-	0	overlapStart	0	Lin28b
chr10	53750863	53751331	469	*	X0068	75906	53633145	53751123	117979	-	0	overlapStart	0	Fam184a
chr10	61147561	61147961	401	*	X0069	20397	61098642	61147703	49062	-	0	overlapStart	0	Sgpl1
chr10	67096431	67097010	580	*	X0073	28193	67009189	67096945	87757	-	0	overlapStart	0	Reep3
chr10	67548784	67549163	380	*	X0074	211488	67544511	67549068	4558	-	0	overlapStart	0	Ado
chr10	69213082	69213484	403	*	X0075	320700	69209762	69213098	3337	-	0	overlapStart	0	A930033H14Rik
chr10	70097148	70097512	365	*	X0076	76551	70097121	70193200	96080	+	0	inside	26	Ccdc6
chr10	71159464	71160030	567	*	X0078	83675	70922832	71159700	236869	-	0	overlapStart	0	Bicc1
chr10	71347649	71347669	21	*	X0079	69718	71347763	71385885	38123	+	93	upstream	93	Ipmk
chr10	71347718	71348089	372	*	X0080	69718	71347763	71385885	38123	+	0	overlapStart	0	Ipmk
chr10	74966925	74967019	95	*	X0081	14687	74967177	75016907	49731	+	157	upstream	157	Gnaz
chr10	74967090	74967540	451	*	X0082	14687	74967177	75016907	49731	+	0	overlapStart	0	Gnaz
chr10	75060661	75061468	808	*	X0083	110279	75060592	75184921	124330	+	0	inside	68	Bcr
chr10	77417942	77418336	395	*	X0084	110532	77290726	77418270	127545	-	0	overlapStart	0	Adarb1
chr10	78352051	78352504	454	*	X0085	28169	78269178	78352489	83312	-	0	overlapStart	0	Agpat3
chr10	79637474	79638034	561	*	X0086	216148	79618051	79637918	19868	-	0	overlapStart	0	Shc2
chr10	79682120	79682549	430	*	X0087	216150	79682195	79688398	6204	+	0	overlapStart	0	Cdc34
chr10	79716572	79717020	449	*	X0088	15166	79716634	79736108	19475	+	0	overlapStart	0	Hcn2
chr10	79766373	79767021	649	*	X0090	70294	79758515	79766952	8438	-	0	overlapStart	0	Rnf126
chr10	80387251	80387605	355	*	X0094	237400	80380355	80387659	7305	-	0	inside	53	Mex3d
chr10	80843768	80844218	451	*	X0096	237403	80832801	80844039	11239	-	0	overlapStart	0	Lingo3
chr10	81559378	81559699	322	*	X0099	14797	81559488	81566362	6875	+	0	overlapStart	0	Tle5
chr10	83337264	83337684	421	*	X0100	338365	83230848	83337882	107035	-	0	inside	197	Slc41a2
chr10	84533564	84534164	601	*	X0101	216197	84526305	84534062	7758	-	0	overlapStart	0	Ckap4
chr10	89344593	89344932	340	*	X0104	320091	88948994	89344645	395652	-	0	overlapStart	0	Ano4
chr10	89872867	89873200	334	*	X0105	77531	89873509	90973300	1099792	+	308	upstream	308	Anks1b
chr10	94944191	94945441	1251	*	X0109	54712	94790866	94944835	153970	-	0	overlapStart	0	Plxnc1
chr10	95563683	95564033	351	*	X0110	71207	95547007	95564146	17140	-	0	inside	112	Nudt4
chr10	98914509	98915509	1001	*	X0111	67972	98914406	99026143	111738	+	0	inside	102	Atp2b1
chr10	110455803	110456195	393	*	X0113	260315	109681259	110456204	774946	-	0	inside	8	Nav3
chr10	114801550	114801926	377	*	X0114	102633245	114801726	114816831	15106	+	0	overlapStart	0	Gm15723
chr10	117845681	117846056	376	*	X0115	215449	117813871	117846035	32165	-	0	overlapStart	0	Rap1b
chr10	119453464	119454473	1010	*	X0117	74053	119453830	120087261	633432	+	0	overlapStart	0	Grip1
chr10	122678875	122679279	405	*	X0119	102466884	122679315	122679415	101	+	35	upstream	35	Mir8104
chr10	122678875	122679279	405	*	X0119	319468	122678762	122945795	267034	+	0	inside	112	Ppm1h
chr10	127059388	127060185	798	*	X0120	216438	127055011	127060184	5174	-	0	overlapStart	0	Marchf9
chr10	127288711	127289098	388	*	X0121	110962	127281956	127289018	7063	-	0	overlapStart	0	Mbd6
chr10	127288711	127289098	388	*	X0121	13198	127290774	127296288	5515	+	1675	upstream	1675	Ddit3
chr10	127739516	127739875	360	*	X0123	320080	127739538	127747349	7812	+	0	overlapStart	0	Zbtb39
chr11	4746270	4747288	1019	*	X0124	192650	4736892	4746778	9887	-	0	overlapStart	0	Cabp7
chr11	4947356	4947838	483	*	X0125	380684	4938754	4948064	9311	-	0	inside	225	Nefh
chr11	5152006	5152434	429	*	X0126	140703	5106265	5152257	45993	-	0	overlapStart	0	Emid1
chr11	6065321	6066063	743	*	X0127	12323	5969644	6066362	96719	-	0	inside	298	Camk2b
chr11	7063589	7063899	311	*	X0128	432530	7063489	7178506	115018	+	0	inside	99	Adcy1
chr11	7213476	7213855	380	*	X0129	16009	7206086	7213923	7838	-	0	inside	67	Igfbp3
chr11	21238814	21239162	349	*	X0134	245944	21239281	21321136	81856	+	118	upstream	118	Vps54
chr11	23306975	23307312	338	*	X0136	17847	23306895	23490560	183666	+	0	inside	79	Usp34
chr11	30267889	30268436	548	*	X0139	20742	30099395	30268169	168775	-	0	overlapStart	0	Sptbn1
chr11	32347646	32347981	336	*	X0140	268396	32347820	32428173	80354	+	0	overlapStart	0	Sh3pxd2b
chr11	33203083	33203439	357	*	X0141	27140	33200752	33203589	2838	-	0	inside	149	Tlx3
chr11	45980258	45980771	514	*	X0144	214105	45980310	46017994	37685	+	0	overlapStart	0	Sox30
chr11	49712346	49712658	313	*	X0146	104625	49671503	49712723	41221	-	0	inside	64	Cnot6
chr11	49901716	49902275	560	*	X0147	74563	49901835	49980994	79160	+	0	overlapStart	0	Rasgef1c
chr11	50025259	50025620	362	*	X0148	59044	50025346	50125719	100374	+	0	overlapStart	0	Rnf130
chr11	50601968	50602288	321	*	X0149	216725	50602084	50807573	205490	+	0	overlapStart	0	Adamts2
chr11	52167884	52168596	713	*	X0150	257871	52154722	52168159	13438	-	0	overlapStart	0	Olfr1372-ps1
chr11	53350513	53350969	457	*	X0151	93736	53350833	53421830	70998	+	0	overlapStart	0	Aff4
chr11	53479667	53480029	363	*	X0152	237761	53476573	53480274	3702	-	0	inside	244	Sowaha
chr11	59306736	59307151	416	*	X0154	216795	59306928	59333552	26625	+	0	overlapStart	0	Wnt9a
chr11	60105026	60105589	564	*	X0157	19377	60105013	60199197	94185	+	0	inside	12	Rai1
chr11	60417294	60417680	387	*	X0158	66771	60417145	60450927	33783	+	0	inside	148	Gid4
chr11	66525433	66526805	1373	*	X0159	380702	66211725	66525964	314240	-	0	overlapStart	0	Shisa6
chr11	69368783	69369216	434	*	X0162	216848	69343273	69369406	26134	-	0	inside	189	Chd3
chr11	69399375	69399964	590	*	X0163	67020	69396519	69398234	1716	-	1140	upstream	1140	Tmem88
chr11	69935641	69936217	577	*	X0165	53422	69935796	69941605	5810	+	0	overlapStart	0	Ybx2
chr11	72135496	72136148	653	*	X0167	327958	72047528	72135778	88251	-	0	overlapStart	0	Pitpnm3
chr11	72489616	72490114	499	*	X0168	216892	72451638	72489904	38267	-	0	overlapStart	0	Spns2
chr11	73018797	73019224	428	*	X0169	100043309	73015856	73018841	2986	-	0	overlapStart	0	4732414G09Rik
chr11	73018797	73019224	428	*	X0169	55984	73019008	73042073	23066	+	0	overlapStart	0	Camkk1
chr11	75795493	75796264	772	*	X0174	13447	75768966	75796049	27084	-	0	overlapStart	0	Doc2b
chr11	76623349	76623850	502	*	X0176	109934	76416734	76623558	206825	-	0	overlapStart	0	Abr
chr11	77493589	77493894	306	*	X0177	216963	77493562	77507786	14225	+	0	inside	26	Git1
chr11	77930957	77931415	459	*	X0178	20370	77930800	77979048	48249	+	0	inside	156	Sez6
chr11	77930957	77931415	459	*	X0178	791423	77912127	77929288	17162	-	1668	upstream	1668	Gm11190
chr11	78165311	78165625	315	*	X0179	22032	78158499	78165589	7091	-	0	overlapStart	0	Traf4
chr11	79591018	79591414	397	*	X0180	268451	79591212	79698023	106812	+	0	overlapStart	0	Rab11fip4
chr11	80300904	80301281	378	*	X0181	246104	80300912	80355955	55044	+	0	overlapStart	0	Rhbdl3
chr11	85832862	85833214	353	*	X0186	69909	85791661	85832223	40563	-	638	upstream	638	2610027K06Rik
chr11	87616977	87617674	698	*	X0189	327992	87617164	87659542	42379	+	0	overlapStart	0	Hsf5
chr11	88099148	88099624	477	*	X0190	103841	88099146	88194140	94995	+	0	inside	1	Cuedc1
chr11	89302022	89302908	887	*	X0191	18121	89300638	89302332	1695	-	0	overlapStart	0	Nog
chr11	93995972	93996326	355	*	X0192	70834	93996091	94126085	129995	+	0	overlapStart	0	Spag9
chr11	93995858	93995914	57	*	X0193	70834	93996091	94126085	129995	+	176	upstream	176	Spag9
chr11	95514507	95514845	339	*	X0194	104079	95509845	95514570	4726	-	0	overlapStart	0	Nxph3
chr11	97362329	97362867	539	*	X0197	192157	97362435	97398542	36108	+	0	overlapStart	0	Socs7
chr11	97500251	97501086	836	*	X0199	100141474	97490783	97500340	9558	-	0	overlapStart	0	4933428G20Rik
chr11	97574970	97575389	420	*	X0200	56013	97509340	97575226	65887	-	0	overlapStart	0	Srcin1
chr11	102946197	102946725	529	*	X0203	23829	102939264	102946688	7425	-	0	overlapStart	0	C1ql1
chr11	105589639	105590165	527	*	X0205	77097	105589986	105929304	339319	+	0	overlapStart	0	Tanc2
chr11	107794292	107794740	449	*	X0209	54377	107732357	107794557	62201	-	0	overlapStart	0	Cacng4
chr11	114066547	114067403	857	*	X0210	237979	113776374	114067046	290673	-	0	overlapStart	0	Sdk2
chr11	115266995	115267359	365	*	X0212	14813	115249169	115267243	18075	-	0	overlapStart	0	Grin2c
chr11	116412619	116413051	433	*	X0215	217340	116336353	116413032	76680	-	0	overlapStart	0	Rnf157
chr11	119085927	119086244	318	*	X0219	12418	119077573	119086221	8649	-	0	overlapStart	0	Cbx4
chr11	120721447	120721753	307	*	X0220	170758	120721470	120723969	2500	+	0	overlapStart	0	Rac3
chr11	120784128	120784574	447	*	X0221	19719	120780746	120784207	3462	-	0	overlapStart	0	Rfng
chr11	120784128	120784574	447	*	X0221	209318	120784272	120789102	4831	+	0	overlapStart	0	Gps1
chr11	121259809	121260218	410	*	X0222	68837	121259990	121309896	49907	+	0	overlapStart	0	Foxk2
chr12	4476650	4477339	690	*	X0224	17977	4247362	4477182	229821	-	0	overlapStart	0	Ncoa1
chr12	18514487	18514760	274	*	X0229	236366	18514510	18535254	20745	+	0	overlapStart	0	5730507C01Rik
chr12	22156380	22156734	355	*	X0242	100043416	22115756	22156646	40891	-	0	overlapStart	0	Gm4425
chr12	23009785	23010047	263	*	X0247	69732	22953995	23010284	56290	-	0	inside	236	2410018L13Rik
chr12	24096936	24097221	286	*	X0253	66808	24043202	24097246	54045	-	0	inside	24	9030624G23Rik
chr12	24651170	24651185	16	*	X0254	194655	24651274	24662789	11516	+	88	upstream	88	Klf11
chr12	24651304	24651518	215	*	X0255	194655	24651274	24662789	11516	+	0	inside	29	Klf11
chr12	26414954	26415306	353	*	X0256	102466676	26414901	26415010	110	-	0	overlapStart	0	Mir6538
chr12	26414954	26415306	353	*	X0256	108089	26306794	26415254	108461	-	0	overlapStart	0	Rnf144a
chr12	33957838	33958222	385	*	X0257	22160	33957671	33959829	2159	+	0	inside	166	Twist1
chr12	49384379	49384874	496	*	X0258	67293	49385174	49407360	22187	+	299	upstream	299	3110039M20Rik
chr12	55599513	55599863	351	*	X0260	56856	55599427	55602086	2660	+	0	inside	85	Insm2
chr12	69986819	69987270	452	*	X0262	64010	69965012	69987002	21991	-	0	overlapStart	0	Sav1
chr12	73546087	73546517	431	*	X0264	238257	73543402	73546392	2991	-	0	overlapStart	0	Tmem30b
chr12	73546087	73546517	431	*	X0264	73644	73548478	73551986	3509	+	1960	upstream	1960	2210039B01Rik
chr12	80436313	80436842	530	*	X0266	320808	80335848	80436601	100754	-	0	overlapStart	0	Dcaf5
chr12	81780860	81781230	371	*	X0268	338372	81721010	81781175	60166	-	0	overlapStart	0	Map3k9
chr12	103242244	103242686	443	*	X0269	170952	103196908	103242150	45243	-	93	upstream	93	Prima1
chr12	103532412	103532761	350	*	X0270	74521	103532283	103613831	81549	+	0	inside	128	Ppp4r4
chr12	104751807	104752143	337	*	X0271	192119	104687742	104751952	64211	-	0	overlapStart	0	Dicer1
chr12	105336855	105337238	384	*	X0272	69952	105336594	105383932	47339	+	0	inside	260	Tunar
chr12	108274988	108275338	351	*	X0274	668158	108203602	108275425	71824	-	0	inside	86	Ccdc85c
chr12	110278127	110278911	785	*	X0279	100526515	110278048	110278129	82	-	0	overlapStart	0	Mir1247
chr12	110278127	110278911	785	*	X0279	107585	110279068	110281097	2030	+	156	upstream	156	Dio3
chr12	110278127	110278911	785	*	X0279	353504	110275385	110278172	2788	-	0	overlapStart	0	Dio3os
chr12	110978778	110979124	347	*	X0280	74251	110975353	110979040	3688	-	0	overlapStart	0	Ankrd9
chr12	111039519	111039880	362	*	X0281	217864	111039351	111115901	76551	+	0	inside	167	Rcor1
chr12	111377356	111377682	327	*	X0282	217866	111292976	111377718	84743	-	0	inside	35	Cdc42bpb
chr12	111907772	111908082	311	*	X0284	21981	111828457	111908110	79654	-	0	inside	27	Ppp1r13b
chr12	112929289	112929873	585	*	X0288	16450	112907819	112929776	21958	-	0	overlapStart	0	Jag2
chr12	113185787	113186217	431	*	X0289	69195	113185930	113189523	3594	+	0	overlapStart	0	Tmem121
chr13	9276460	9277345	886	*	X0293	208440	9276528	9668928	392401	+	0	overlapStart	0	Dip2c
chr13	9764105	9765050	946	*	X0294	66505	9684833	9765330	80498	-	0	inside	279	Zmynd11
chr13	10360309	10360793	485	*	X0295	12671	9875486	10360847	485362	-	0	inside	53	Chrm3
chr13	12106487	12107058	572	*	X0296	20191	11553102	12106945	553844	-	0	overlapStart	0	Ryr2
chr13	14064142	14064585	444	*	X0298	14593	14050659	14063488	12830	-	653	upstream	653	Ggps1
chr13	17804875	17805208	334	*	X0299	69562	17710315	17805097	94783	-	0	overlapStart	0	Cdk13
chr13	30659840	30660212	373	*	X0301	105352	30659999	30711231	51233	+	0	overlapStart	0	Dusp22
chr13	31625659	31626220	562	*	X0302	14238	31625816	31631403	5588	+	0	overlapStart	0	Foxf2
chr13	31625659	31626220	562	*	X0302	71307	31565492	31625509	60018	-	149	upstream	149	1700018A04Rik
chr13	31806388	31807315	928	*	X0303	17300	31806633	31812476	5844	+	0	overlapStart	0	Foxc1
chr13	34344598	34345304	707	*	X0304	73102	34179158	34345182	166025	-	0	overlapStart	0	Slc22a23
chr13	41220186	41220613	428	*	X0307	54326	41182381	41220405	38025	-	0	overlapStart	0	Elovl2
chr13	41605842	41606184	343	*	X0308	621976	41605907	41641355	35449	+	0	overlapStart	0	Tmem170b
chr13	43480858	43481491	634	*	X0310	56705	43402675	43481282	78608	-	0	overlapStart	0	Ranbp9
chr13	45001886	45002228	343	*	X0312	94245	44922075	45002147	80073	-	0	overlapStart	0	Dtnbp1
chr13	46929566	46930011	446	*	X0315	16553	46749087	46929867	180781	-	0	overlapStart	0	Kif13a
chr13	47105807	47106158	352	*	X0316	110052	47084775	47106201	21427	-	0	inside	42	Dek
chr13	48261451	48261818	368	*	X0317	15904	48261228	48266026	4799	+	0	inside	222	Id4
chr13	48662858	48663399	542	*	X0318	12022	48662998	48666507	3510	+	0	overlapStart	0	Barx1
chr13	49147728	49148116	389	*	X0320	75607	49036303	49148014	111712	-	0	overlapStart	0	Wnk2
chr13	51100739	51101242	504	*	X0321	20729	51100880	51152546	51667	+	0	overlapStart	0	Spin1
chr13	51793391	51793727	337	*	X0323	20354	51685529	51793747	108219	-	0	inside	19	Sema4d
chr13	54749249	54749885	637	*	X0325	26913	54736671	54749874	13204	-	0	overlapStart	0	Gprin1
chr13	54948988	54949817	830	*	X0326	107448	54949411	55006018	56608	+	0	overlapStart	0	Unc5a
chr13	55210044	55211583	1540	*	X0327	18193	55209782	55318325	108544	+	0	inside	261	Nsd1
chr13	55445216	55445612	397	*	X0328	26385	55445072	55460927	15856	+	0	inside	143	Grk6
chr13	56703154	56703483	330	*	X0331	17129	56703010	56742377	39368	+	0	inside	143	Smad5
chr13	57908119	57908402	284	*	X0332	20745	57421195	57908332	487138	-	0	overlapStart	0	Spock1
chr13	58128193	58128901	709	*	X0333	77134	58125879	58128556	2678	-	0	overlapStart	0	Hnrnpa0
chr13	58215210	58215640	431	*	X0334	56085	58176156	58215653	39498	-	0	inside	12	Ubqln1
chr13	58358769	58359120	352	*	X0335	75050	58287502	58359122	71621	-	0	inside	1	Kif27
chr13	60601852	60602267	416	*	X0337	69635	60601947	60763191	161245	+	0	overlapStart	0	Dapk1
chr13	68998986	68999798	813	*	X0339	210044	68620043	68999541	379499	-	0	overlapStart	0	Adcy2
chr13	69739543	69740068	526	*	X0340	76980	69702832	69739889	37058	-	0	overlapStart	0	Ube2ql1
chr13	71963194	71963765	572	*	X0341	16371	71957921	71963723	5803	-	0	overlapStart	0	Irx1
chr13	72628606	72629454	849	*	X0342	16372	72628820	72634198	5379	+	0	overlapStart	0	Irx2
chr13	72628606	72629454	849	*	X0342	328287	72626213	72628564	2352	-	41	upstream	41	Gm20554
chr13	73260390	73261103	714	*	X0343	50916	73260479	73269608	9130	+	0	overlapStart	0	Irx4
chr13	78198201	78199464	1264	*	X0344	13865	78188973	78199757	10785	-	0	inside	292	Nr2f1
chr13	78198201	78199464	1264	*	X0344	320174	78198017	78236564	38548	+	0	inside	183	A830082K12Rik
chr13	92425824	92426843	1020	*	X0346	218440	92425896	92441658	15763	+	0	overlapStart	0	Ankrd34b
chr13	93499399	93499971	573	*	X0347	57748	93430101	93499808	69708	-	0	overlapStart	0	Jmy
chr13	100616541	100617085	545	*	X0351	218518	100595957	100616971	21015	-	0	overlapStart	0	Marveld2
chr13	100651359	100651681	323	*	X0352	108143	100651343	100656060	4718	+	0	inside	15	Taf9
chr13	100651359	100651681	323	*	X0352	19356	100617164	100651051	33888	-	307	upstream	307	Rad17
chr13	103920690	103921321	632	*	X0353	59079	103818787	103920514	101728	-	175	upstream	175	Erbin
chr13	107022198	107022549	352	*	X0355	100040322	107022553	107055497	32945	+	3	upstream	3	3830408C21Rik
chr13	107022198	107022549	352	*	X0355	16563	106958996	107022126	63131	-	71	upstream	71	Kif2a
chr13	107888941	107890036	1096	*	X0356	67263	107724617	107890064	165448	-	0	inside	27	Zswim6
chr13	112651944	112652380	437	*	X0358	13206	112598333	112652475	54143	-	0	inside	94	Ddx4
chr13	113617883	113618319	437	*	X0359	170625	113592179	113618564	26386	-	0	inside	244	Snx18
chr13	117602390	117602815	426	*	X0360	15165	117602320	117987418	385099	+	0	inside	69	Hcn1
chr13	119428169	119429509	1341	*	X0361	218693	119428601	119458218	29618	+	0	overlapStart	0	Paip1
chr13	119488221	119488403	183	*	X0362	633640	119488039	119611059	123021	+	0	inside	181	Tmem267
chr13	119488221	119488403	183	*	X0362	67304	119487252	119488384	1133	-	0	overlapStart	0	3110070M22Rik
chr14	8214196	8214542	347	*	X0364	71393	8214140	8223563	9424	+	0	inside	55	Kctd6
chr14	11553288	11553610	323	*	X0365	19270	11553532	12242041	688510	+	0	overlapStart	0	Ptprg
chr14	15438547	15438968	422	*	X0368	218763	15357515	15438987	81473	-	0	inside	18	Lrrc3b
chr14	18331304	18331852	549	*	X0369	22194	18282722	18331859	49138	-	0	inside	6	Ube2e1
chr14	24004017	24004612	596	*	X0372	78019	24003844	24008335	4492	+	0	inside	172	4930519K11Rik
chr14	29721668	29722150	483	*	X0373	12294	28904943	29721864	816922	-	0	overlapStart	0	Cacna2d3
chr14	32856770	32857187	418	*	X0375	320736	32856756	32939491	82736	+	0	inside	13	Vstm4
chr14	33923347	33923838	492	*	X0377	14560	33923587	33937983	14397	+	0	overlapStart	0	Gdf10
chr14	34310539	34310931	393	*	X0378	14661	34310727	34345265	34539	+	0	overlapStart	0	Glud1
chr14	34310539	34310931	393	*	X0378	75698	34237033	34310493	73461	-	45	upstream	45	Shld2
chr14	34819778	34820388	611	*	X0379	14803	34820108	35583379	763272	+	0	overlapStart	0	Grid1
chr14	39472272	39473595	1324	*	X0380	18183	38368952	39473088	1104137	-	0	overlapStart	0	Nrg3
chr14	45219838	45220162	325	*	X0381	70561	45133465	45220328	86864	-	0	inside	165	Txndc16
chr14	45219838	45220162	325	*	X0381	70713	45219719	45282725	63007	+	0	inside	118	Gpr137c
chr14	45657814	45658146	333	*	X0382	100628600	45657961	45658053	93	-	0	includeFeature	0	Mir5131
chr14	45657814	45658146	333	*	X0382	114874	45588467	45658143	69677	-	0	overlapStart	0	Ddhd1
chr14	48120534	48121026	493	*	X0383	93834	48120823	48281575	160753	+	0	overlapStart	0	Peli2
chr14	49172085	49172482	398	*	X0384	70646	49172226	49191031	18806	+	0	overlapStart	0	Naa30
chr14	61439381	61439705	325	*	X0392	16648	61365211	61439874	74664	-	0	inside	168	Kpna3
chr14	63606661	63607273	613	*	X0394	219149	63606503	63820809	214307	+	0	inside	157	Xkr6
chr14	65261900	65262426	527	*	X0395	14365	65192449	65262463	70015	-	0	inside	36	Fzd3
chr14	65358480	65358854	375	*	X0396	380912	65358389	65398930	40542	+	0	inside	90	Zfp395
chr14	67933286	67933766	481	*	X0397	68813	67752135	67933442	181308	-	0	overlapStart	0	Dock5
chr14	70519851	70520187	337	*	X0399	12153	70474558	70520234	45677	-	0	inside	46	Bmp1
chr14	70766166	70766770	605	*	X0400	65246	70654246	70766628	112383	-	0	overlapStart	0	Xpo7
chr14	73325457	73326059	603	*	X0401	19645	73195502	73325822	130321	-	0	overlapStart	0	Rb1
chr14	78732306	78732789	484	*	X0403	380921	78558750	78732776	174027	-	0	overlapStart	0	Dgkh
chr14	79768386	79768932	547	*	X0404	102633266	79769908	79772743	2836	+	975	upstream	975	Gm9748
chr14	79769881	79770266	386	*	X0405	102633266	79769908	79772743	2836	+	0	overlapStart	0	Gm9748
chr14	87416533	87417224	692	*	X0406	219249	87416639	87545504	128866	+	0	overlapStart	0	Tdrd3
chr14	102982563	102982874	312	*	X0408	100628599	102982549	102982632	84	-	0	overlapStart	0	Mir5130
chr14	102982563	102982874	312	*	X0408	239217	102976581	102982637	6057	-	0	overlapStart	0	Kctd12
chr14	103098942	103099308	367	*	X0409	50789	103080239	103099566	19328	-	0	inside	257	Fbxl3
chr14	103650227	103650718	492	*	X0410	105439	103650228	103704907	54680	+	0	overlapStart	0	Slain1
chr14	104467427	104468380	954	*	X0412	18996	104461676	104467999	6324	-	0	overlapStart	0	Pou4f1
chr14	115041145	115042039	895	*	X0413	387135	115043851	115043946	96	+	1811	upstream	1811	Mir18
chr14	115041145	115042039	895	*	X0413	723891	115044000	115044081	82	+	1960	upstream	1960	Mir19a
chr14	115041145	115042039	895	*	X0413	723905	115043671	115043754	84	+	1631	upstream	1631	Mir17
chr14	118234811	118235875	1065	*	X0414	105245869	118236232	118261199	24968	+	356	upstream	356	Gm4675
chr14	119137696	119138420	725	*	X0415	50787	119138341	119869815	731475	+	0	overlapStart	0	Hs6st3
